LogID,UserID,ActivityType,CaloriesBurned,DateOfActivity,DistanceTraveled,Duration
AL2382,U94,Weightlifting,727,2024-11-22,9.69,88
AL2383,U2543,Weightlifting,442,2024-02-10,10.88,72
AL2384,U1792,Running,655,2024-03-12,8.28,70
AL2385,U1338,Running,415,2024-05-27,11.88,115
AL2386,U2347,Running,555,2024-11-08,11.99,89
AL2387,U99,Weightlifting,208,2024-01-07,0.88,55
AL2388,U2185,Cycling,738,2024-03-18,14.35,47
AL2389,U2190,Running,684,2024-09-01,2.2,98
AL2390,U1313,Weightlifting,632,2024-11-02,5.81,29
AL2391,U693,Running,537,2024-06-10,9.52,20
AL2392,U2680,Cycling,270,2024-03-31,15.81,87
AL2393,U2257,Running,157,2024-04-06,15.04,16
AL2394,U1725,Weightlifting,518,2024-08-12,2.4,98
AL2395,U1170,Weightlifting,91,2024-02-06,12.27,24
AL2396,U248,Cycling,113,2024-02-28,12.96,90
AL2397,U743,Cycling,181,2024-10-15,12.63,77
AL2398,U2078,Running,173,2024-04-09,4.47,49
AL2399,U209,Weightlifting,366,2024-05-09,3.54,93
AL2400,U2964,Cycling,436,2024-07-12,14.99,33
AL2401,U1128,Weightlifting,681,2024-02-26,5.08,116
AL2402,U1519,Running,209,2024-07-12,17.99,33
AL2403,U1901,Cycling,558,2024-01-14,8.81,108
AL2404,U1448,Running,682,2024-08-01,12.23,31
AL2405,U424,Cycling,392,2024-03-22,13.89,81
AL2406,U2010,Weightlifting,537,2024-10-02,4.05,25
AL2407,U2100,Running,183,2024-05-03,10.58,59
AL2408,U2498,Weightlifting,453,2024-05-02,19.35,50
AL2409,U677,Weightlifting,467,2024-01-17,8.29,99
AL2410,U1101,Running,334,2024-08-09,4.39,41
AL2411,U2429,Weightlifting,666,2024-02-20,2.9,68
AL2412,U693,Running,666,2024-02-03,3.74,19
AL2413,U2687,Running,177,2024-06-28,8.89,57
AL2414,U2720,Running,597,2024-02-27,12.05,77
AL2415,U2599,Cycling,621,2024-05-14,13.92,94
AL2416,U1604,Weightlifting,452,2024-08-25,7.62,29
AL2417,U1520,Running,335,2024-02-08,17.99,49
AL2418,U806,Running,704,2024-01-05,1.17,75
AL2419,U574,Cycling,68,2024-10-15,14.09,110
AL2420,U1335,Cycling,672,2024-06-16,8.52,75
AL2421,U902,Running,458,2024-01-17,11.39,58
AL2422,U825,Weightlifting,511,2024-09-08,18.04,59
AL2423,U1903,Cycling,213,2024-11-04,11.81,79
AL2424,U137,Running,610,2024-03-03,18.32,118
AL2425,U271,Cycling,167,2024-05-14,18.55,55
AL2426,U2446,Cycling,70,2024-08-29,19.51,46
AL2427,U2306,Weightlifting,403,2024-06-22,11.41,88
AL2428,U2780,Cycling,628,2024-10-28,15.11,78
AL2429,U2846,Weightlifting,306,2024-11-04,15.84,65
AL2430,U2788,Running,180,2024-10-15,6.97,35
AL2431,U1009,Cycling,219,2024-06-25,15.91,67
AL2432,U2062,Running,309,2024-06-01,10.16,110
AL2433,U2058,Running,332,2024-01-04,15.58,74
AL2434,U2543,Cycling,632,2024-02-09,17.28,28
AL2435,U943,Cycling,794,2024-11-14,12.08,91
AL2436,U282,Weightlifting,622,2024-10-19,16.1,85
AL2437,U2338,Running,603,2024-01-06,14.77,62
AL2438,U2022,Running,601,2024-06-07,12.26,113
AL2439,U2871,Cycling,635,2024-04-17,19.84,89
AL2440,U1120,Running,367,2024-02-28,16.27,107
AL2441,U1191,Weightlifting,476,2024-07-03,11.27,52
AL2442,U1493,Running,369,2024-01-20,16.55,54
AL2443,U2776,Cycling,157,2024-10-06,19.82,28
AL2444,U1185,Cycling,120,2024-01-18,11.17,41
AL2445,U1735,Cycling,715,2024-04-27,13.56,21
AL2446,U2220,Weightlifting,185,2024-05-24,8.54,39
AL2447,U1068,Running,379,2024-07-17,15.95,87
AL2448,U2361,Weightlifting,187,2024-07-15,3.64,15
AL2449,U1188,Cycling,459,2024-11-18,16.33,39
AL2450,U2726,Cycling,328,2024-01-21,17.34,26
AL2451,U127,Running,502,2024-08-11,7.25,12
AL2452,U1213,Cycling,79,2024-06-19,14.08,93
AL2453,U1053,Weightlifting,542,2024-02-15,4.29,47
AL2454,U142,Cycling,682,2024-02-21,18.74,61
AL2455,U1287,Running,728,2024-11-11,4.38,80
AL2456,U367,Weightlifting,662,2024-04-25,1.88,111
AL2457,U2283,Cycling,518,2024-02-06,12.97,118
AL2458,U1319,Running,735,2024-07-13,5.07,41
AL2459,U327,Cycling,255,2024-01-05,12.51,11
AL2460,U1979,Cycling,795,2024-01-20,15.29,34
AL2461,U1287,Weightlifting,547,2024-06-10,6.02,28
AL2462,U925,Cycling,228,2024-04-29,16.1,82
AL2463,U2921,Running,118,2024-07-22,14.46,98
AL2464,U1745,Cycling,64,2024-10-17,19.34,42
AL2465,U2989,Running,750,2024-10-23,17.35,64
AL2466,U2130,Weightlifting,136,2024-07-10,11.83,62
AL2467,U1306,Cycling,550,2024-03-25,4.01,47
AL2468,U529,Running,792,2024-05-16,3.32,51
AL2469,U2205,Weightlifting,160,2024-06-27,19.84,83
AL2470,U2373,Cycling,70,2024-02-03,5.66,77
AL2471,U136,Running,598,2024-01-16,9.88,101
AL2472,U32,Weightlifting,492,2024-07-18,2.66,119
AL2473,U2824,Weightlifting,628,2024-11-15,12.47,99
AL2474,U2986,Cycling,685,2024-09-24,4.36,19
AL2475,U1282,Weightlifting,643,2024-07-20,8.97,102
AL2476,U2999,Weightlifting,206,2024-08-01,14.48,12
AL2477,U2895,Running,53,2024-05-05,3.5,47
AL2478,U1744,Running,576,2024-04-16,12.18,69
AL2479,U2041,Running,179,2024-05-25,14.98,63
AL2480,U2465,Running,457,2024-03-03,17.31,48
AL2481,U216,Running,524,2024-11-18,6.14,64
AL2482,U1108,Weightlifting,66,2024-09-17,9.57,81
AL2483,U41,Running,199,2024-11-24,2.99,41
AL2484,U542,Cycling,503,2024-11-04,2.79,58
AL2485,U2075,Weightlifting,498,2024-09-27,11.43,57
AL2486,U2978,Weightlifting,308,2024-10-25,15.4,117
AL2487,U2034,Running,338,2024-03-14,2.3,26
AL2488,U2047,Weightlifting,365,2024-04-06,4.26,105
AL2489,U2449,Running,329,2024-04-26,4.86,52
AL2490,U1890,Cycling,746,2024-02-14,14.61,109
AL2491,U1902,Running,529,2024-08-25,17.32,94
AL2492,U1156,Running,761,2024-07-01,15.27,101
AL2493,U1847,Weightlifting,489,2024-09-28,18.33,64
AL2494,U1704,Cycling,766,2024-04-01,9.21,81
AL2495,U2047,Running,239,2024-02-13,2.72,114
AL2496,U1497,Running,149,2024-09-14,0.59,79
AL2497,U2870,Weightlifting,253,2024-06-07,19.91,84
AL2498,U13,Running,243,2024-10-02,4.32,49
AL2499,U1729,Cycling,502,2024-08-19,17.68,68
AL2500,U1853,Cycling,64,2024-10-21,9.77,98
AL2501,U985,Running,311,2024-02-13,2.43,64
AL2502,U871,Cycling,198,2024-09-18,4.21,118
AL2503,U1306,Running,525,2024-03-03,15.54,82
AL2504,U1782,Cycling,634,2024-08-26,5.24,97
AL2505,U699,Weightlifting,321,2024-01-09,14.59,87
AL2506,U804,Cycling,548,2024-09-28,4.01,74
AL2507,U2028,Running,175,2024-02-09,15.03,25
AL2508,U2637,Weightlifting,375,2024-01-02,15.57,112
AL2509,U2565,Weightlifting,202,2024-05-11,12.96,59
AL2510,U580,Cycling,312,2024-11-24,5.52,80
AL2511,U807,Weightlifting,293,2024-08-09,16.76,28
AL2512,U2551,Running,354,2024-05-09,16.84,49
AL2513,U2630,Cycling,236,2024-11-22,4.58,18
AL2514,U2599,Cycling,402,2024-03-27,19.7,48
AL2515,U2007,Running,742,2024-11-07,18.29,104
AL2516,U543,Weightlifting,63,2024-04-13,10.29,114
AL2517,U1807,Running,447,2024-10-11,4.05,93
AL2518,U265,Cycling,690,2024-10-03,9.81,98
AL2519,U1407,Running,667,2024-02-14,17.22,55
AL2520,U2336,Running,312,2024-06-25,5.53,119
AL2521,U442,Running,295,2024-04-13,3.86,115
AL2522,U2063,Running,466,2024-07-09,15.11,48
AL2523,U2876,Running,50,2024-04-19,19.54,36
AL2524,U2903,Running,759,2024-05-14,18.13,115
AL2525,U1677,Weightlifting,294,2024-09-27,1.93,51
AL2526,U59,Cycling,122,2024-11-24,6.24,32
AL2527,U1593,Cycling,661,2024-07-05,9.67,33
AL2528,U1363,Running,746,2024-08-02,2.78,99
AL2529,U1186,Running,330,2024-06-08,16.23,79
AL2530,U838,Running,236,2024-05-20,8.12,114
AL2531,U1354,Running,204,2024-09-22,3.26,74
AL2532,U1619,Running,136,2024-07-17,17.49,26
AL2533,U2466,Weightlifting,642,2024-02-14,5.03,33
AL2534,U753,Running,798,2024-03-17,18.94,13
AL2535,U2763,Running,608,2024-08-30,3.91,31
AL2536,U972,Weightlifting,170,2024-05-21,11.67,38
AL2537,U2879,Running,123,2024-10-11,13.62,43
AL2538,U773,Cycling,68,2024-09-15,5.95,48
AL2539,U502,Weightlifting,248,2024-05-20,14.93,82
AL2540,U2372,Cycling,604,2024-11-14,2.46,18
AL2541,U2390,Running,446,2024-03-14,14.65,62
AL2542,U1511,Weightlifting,723,2024-05-08,12.45,91
AL2543,U1245,Cycling,766,2024-10-06,9.98,45
AL2544,U1378,Running,159,2024-06-05,4.51,81
AL2545,U844,Cycling,202,2024-06-25,7.33,71
AL2546,U2983,Weightlifting,652,2024-05-02,1.66,10
AL2547,U1878,Weightlifting,195,2024-05-10,10.15,101
AL2548,U1304,Cycling,253,2024-09-28,15.91,65
AL2549,U1779,Weightlifting,478,2024-10-05,5.56,65
AL2550,U372,Cycling,385,2024-10-05,12.3,88
AL2551,U964,Weightlifting,392,2024-02-12,1.53,33
AL2552,U679,Running,136,2024-05-08,13.98,90
AL2553,U1319,Cycling,661,2024-09-07,2.06,47
AL2554,U834,Weightlifting,561,2024-02-24,5.32,42
AL2555,U734,Cycling,229,2024-05-26,0.74,42
AL2556,U182,Weightlifting,734,2024-06-29,12.8,34
AL2557,U2262,Running,577,2024-03-31,1.17,98
AL2558,U2567,Cycling,343,2024-03-19,2.96,93
AL2559,U2326,Running,380,2024-06-17,19.67,114
AL2560,U2809,Weightlifting,776,2024-03-15,9.9,26
AL2561,U2027,Cycling,310,2024-09-12,15.11,78
AL2562,U2229,Cycling,681,2024-05-22,19.38,52
AL2563,U2834,Cycling,446,2024-09-01,12.39,18
AL2564,U2230,Cycling,696,2024-09-05,14.45,71
AL2565,U991,Running,322,2024-11-13,13.26,16
AL2566,U2023,Weightlifting,678,2024-09-08,3.44,115
AL2567,U674,Weightlifting,435,2024-11-05,4.81,31
AL2568,U2787,Cycling,447,2024-08-16,12.17,44
AL2569,U2698,Weightlifting,140,2024-08-31,10.28,81
AL2570,U516,Running,272,2024-04-23,8.62,37
AL2571,U620,Cycling,475,2024-06-08,12.55,65
AL2572,U680,Running,196,2024-09-23,2.19,66
AL2573,U2626,Running,680,2024-08-05,13.88,87
AL2574,U364,Cycling,391,2024-10-10,13.02,70
AL2575,U2275,Running,688,2024-10-16,8.36,83
AL2576,U123,Running,230,2024-11-07,7.02,102
AL2577,U2090,Running,179,2024-03-02,13.87,39
AL2578,U2147,Cycling,568,2024-02-04,1.96,52
AL2579,U2140,Cycling,639,2024-07-15,2.67,49
AL2580,U1262,Cycling,660,2024-02-18,5.18,22
AL2581,U879,Cycling,61,2024-02-03,15.82,77
AL2582,U2550,Weightlifting,304,2024-07-31,15.09,33
AL2583,U508,Running,540,2024-09-16,0.61,31
AL2584,U1538,Cycling,703,2024-06-12,2.4,81
AL2585,U1084,Weightlifting,86,2024-01-30,11.49,51
AL2586,U192,Weightlifting,331,2024-04-15,14.2,95
AL2587,U1791,Weightlifting,751,2024-06-06,7.76,54
AL2588,U1937,Cycling,403,2024-11-19,9.71,109
AL2589,U6,Running,610,2024-03-25,10.31,77
AL2590,U2027,Cycling,318,2024-04-09,2.68,12
AL2591,U439,Cycling,744,2024-08-04,15.15,40
AL2592,U2749,Cycling,53,2024-01-10,3.69,34
AL2593,U597,Weightlifting,342,2024-09-25,6.83,42
AL2594,U2033,Weightlifting,795,2024-06-05,1.74,34
AL2595,U139,Weightlifting,477,2024-10-20,17.17,50
AL2596,U946,Running,208,2024-01-26,1.89,43
AL2597,U2661,Running,617,2024-01-28,19.81,94
AL2598,U2970,Cycling,555,2024-01-08,12.62,31
AL2599,U2776,Running,389,2024-10-11,2.06,14
AL2600,U1107,Cycling,63,2024-03-11,5.93,56
AL2601,U1703,Weightlifting,776,2024-04-10,2.66,105
AL2602,U1392,Cycling,116,2024-03-07,1.11,67
AL2603,U769,Running,582,2024-05-12,16.15,86
AL2604,U1813,Cycling,303,2024-10-09,5.7,91
AL2605,U2910,Weightlifting,330,2024-08-05,6.36,58
AL2606,U1878,Weightlifting,331,2024-06-20,11.63,87
AL2607,U2807,Cycling,718,2024-06-02,2.72,57
AL2608,U1528,Weightlifting,332,2024-05-20,12.27,72
AL2609,U2566,Running,580,2024-10-01,3.45,77
AL2610,U2834,Running,517,2024-07-16,13.23,120
AL2611,U2499,Weightlifting,763,2024-11-21,6.65,110
AL2612,U816,Cycling,343,2024-02-24,3.48,46
AL2613,U1384,Cycling,311,2024-04-04,3.73,34
AL2614,U2128,Running,710,2024-07-07,18.16,33
AL2615,U2432,Cycling,783,2024-03-13,7.43,81
AL2616,U446,Weightlifting,710,2024-04-08,0.59,105
AL2617,U1539,Cycling,198,2024-01-28,4.08,32
AL2618,U1832,Weightlifting,554,2024-07-22,1.66,41
AL2619,U2222,Running,657,2024-04-20,13.05,82
AL2620,U3000,Running,323,2024-05-25,17.75,114
AL2621,U968,Running,481,2024-01-11,12.08,23
AL2622,U1929,Cycling,330,2024-05-16,16.26,33
AL2623,U2436,Cycling,148,2024-11-08,15.78,95
AL2624,U416,Running,122,2024-07-07,1.4,41
AL2625,U2697,Weightlifting,505,2024-10-29,1.73,27
AL2626,U1735,Running,344,2024-11-09,14.58,19
AL2627,U2356,Weightlifting,272,2024-03-05,3.68,21
AL2628,U1347,Weightlifting,529,2024-05-21,0.7,72
AL2629,U2911,Running,417,2024-03-03,16.14,102
AL2630,U1176,Weightlifting,156,2024-08-30,19.93,65
AL2631,U1843,Weightlifting,128,2024-05-17,13.38,40
AL2632,U2693,Running,131,2024-06-02,13.67,41
AL2633,U393,Cycling,186,2024-02-08,10.05,105
AL2634,U2790,Weightlifting,497,2024-07-13,9.77,98
AL2635,U237,Weightlifting,535,2024-03-21,19.33,90
AL2636,U2665,Running,795,2024-07-25,6.04,67
AL2637,U2975,Cycling,486,2024-05-17,18.52,12
AL2638,U1039,Running,606,2024-02-25,16.47,16
AL2639,U1520,Weightlifting,162,2024-10-05,16.1,111
AL2640,U1096,Weightlifting,104,2024-04-16,8.17,81
AL2641,U2281,Weightlifting,490,2024-06-29,8.68,25
AL2642,U1413,Running,569,2024-04-24,18.18,72
AL2643,U1482,Cycling,444,2024-10-17,15.89,24
AL2644,U1861,Cycling,749,2024-04-02,18.94,25
AL2645,U863,Running,362,2024-05-30,10.75,68
AL2646,U794,Cycling,171,2024-04-06,17.69,28
AL2647,U197,Weightlifting,731,2024-01-11,7.69,39
AL2648,U2527,Running,520,2024-09-27,11.61,64
AL2649,U2611,Running,454,2024-09-10,16.86,47
AL2650,U2549,Weightlifting,361,2024-01-19,4.72,104
AL2651,U975,Running,280,2024-07-13,11.23,43
AL2652,U1775,Running,88,2024-08-02,18.19,105
AL2653,U2782,Weightlifting,321,2024-01-06,1.21,17
AL2654,U2031,Weightlifting,72,2024-07-13,12.2,99
AL2655,U2387,Cycling,638,2024-02-23,10.97,55
AL2656,U1451,Weightlifting,660,2024-01-09,2.31,104
AL2657,U2924,Cycling,703,2024-06-02,1.38,19
AL2658,U1540,Weightlifting,406,2024-08-07,16.51,43
AL2659,U1957,Cycling,528,2024-04-28,16.85,23
AL2660,U1093,Running,356,2024-10-13,1.62,48
AL2661,U2352,Cycling,181,2024-10-04,12.42,78
AL2662,U276,Weightlifting,537,2024-09-15,17.26,76
AL2663,U1692,Cycling,345,2024-06-09,6.14,86
AL2664,U979,Running,313,2024-07-03,3.4,59
AL2665,U2341,Weightlifting,209,2024-09-24,17.22,55
AL2666,U2382,Cycling,665,2024-10-07,8.55,76
AL2667,U232,Running,640,2024-10-25,15.69,12
AL2668,U2251,Cycling,231,2024-01-04,11.45,51
AL2669,U2323,Cycling,71,2024-01-17,18.05,78
AL2670,U2045,Running,197,2024-04-29,6.27,86
AL2671,U1832,Running,687,2024-03-15,17.42,16
AL2672,U1165,Weightlifting,712,2024-05-29,19.42,83
AL2673,U168,Weightlifting,376,2024-09-16,2.17,39
AL2674,U2192,Cycling,746,2024-02-19,10.81,53
AL2675,U352,Running,509,2024-08-05,3.63,61
AL2676,U1427,Running,690,2024-11-26,9.83,64
AL2677,U435,Cycling,496,2024-07-25,3.36,26
AL2678,U976,Running,507,2024-09-11,16.06,78
AL2679,U2514,Weightlifting,333,2024-08-04,19.62,10
AL2680,U214,Weightlifting,634,2024-01-28,11.27,83
AL2681,U1049,Cycling,95,2024-09-23,19.66,96
AL2682,U2347,Weightlifting,570,2024-07-19,6.75,46
AL2683,U2764,Cycling,390,2024-11-17,0.74,97
AL2684,U1552,Cycling,280,2024-03-26,15.11,26
AL2685,U684,Running,543,2024-01-30,11.7,10
AL2686,U247,Cycling,381,2024-01-13,1.83,54
AL2687,U859,Running,768,2024-08-30,15.99,57
AL2688,U915,Weightlifting,605,2024-06-07,15.74,105
AL2689,U865,Running,638,2024-03-10,19.99,98
AL2690,U1309,Cycling,409,2024-11-05,16.1,113
AL2691,U681,Cycling,459,2024-07-23,6.69,39
AL2692,U2763,Cycling,514,2024-04-02,6.22,116
AL2693,U1761,Cycling,463,2024-07-09,5.42,79
AL2694,U2633,Weightlifting,742,2024-08-13,2.07,61
AL2695,U1733,Weightlifting,553,2024-08-24,10.8,88
AL2696,U2802,Running,701,2024-09-29,7.43,99
AL2697,U1038,Running,456,2024-05-09,14.72,75
AL2698,U2893,Running,656,2024-05-19,10.74,44
AL2699,U1324,Cycling,212,2024-02-17,10.75,89
AL2700,U457,Running,437,2024-01-03,4.54,114
AL2701,U409,Weightlifting,549,2024-01-27,11.41,17
AL2702,U1267,Running,573,2024-05-31,17.46,42
AL2703,U2064,Running,266,2024-11-03,2.63,33
AL2704,U2093,Cycling,626,2024-11-05,14.55,76
AL2705,U1270,Weightlifting,80,2024-08-12,15.58,39
AL2706,U290,Weightlifting,375,2024-03-20,15.95,52
AL2707,U2560,Running,653,2024-11-11,17.43,51
AL2708,U2666,Cycling,673,2024-01-17,1.72,12
AL2709,U1491,Running,784,2024-07-21,6.43,115
AL2710,U849,Running,488,2024-11-08,2.36,34
AL2711,U276,Weightlifting,313,2024-08-20,5.56,25
AL2712,U2518,Running,355,2024-09-25,16.01,46
AL2713,U726,Running,521,2024-08-12,10.54,12
AL2714,U2133,Running,478,2024-04-24,5.4,47
AL2715,U1059,Running,589,2024-08-18,1.32,15
AL2716,U36,Running,161,2024-09-19,7.3,77
AL2717,U2291,Running,256,2024-06-19,18.4,66
AL2718,U1913,Cycling,114,2024-01-16,2.03,112
AL2719,U1242,Cycling,298,2024-01-21,1.65,71
AL2720,U2074,Running,720,2024-08-17,10.07,26
AL2721,U1639,Weightlifting,547,2024-05-21,4.9,35
AL2722,U2855,Weightlifting,397,2024-07-26,3.94,104
AL2723,U1729,Cycling,609,2024-11-13,12.29,92
AL2724,U2815,Weightlifting,630,2024-03-03,7.07,69
AL2725,U167,Running,660,2024-01-12,11.12,48
AL2726,U832,Cycling,110,2024-02-13,10,76
AL2727,U2034,Running,330,2024-05-08,10.33,67
AL2728,U49,Running,521,2024-05-01,1.71,19
AL2729,U822,Cycling,697,2024-09-26,15.11,74
AL2730,U1556,Cycling,248,2024-01-20,1.55,60
AL2731,U964,Weightlifting,656,2024-02-04,4.62,93
AL2732,U1151,Running,264,2024-08-21,11.63,70
AL2733,U1030,Running,553,2024-11-25,19.52,82
AL2734,U2278,Weightlifting,480,2024-07-01,1.9,16
AL2735,U1948,Cycling,387,2024-06-03,11.9,89
AL2736,U2792,Running,343,2024-01-28,14.47,112
AL2737,U167,Weightlifting,124,2024-02-21,11.81,100
AL2738,U2326,Weightlifting,621,2024-04-07,6.08,29
AL2739,U1554,Cycling,600,2024-09-10,17.94,31
AL2740,U1901,Weightlifting,263,2024-10-18,10.57,36
AL2741,U2197,Running,800,2024-11-20,17.21,82
AL2742,U259,Weightlifting,122,2024-10-06,6.72,87
AL2743,U1889,Cycling,693,2024-07-24,13.82,37
AL2744,U2583,Weightlifting,103,2024-08-14,13.27,25
AL2745,U271,Running,560,2024-09-20,4.02,91
AL2746,U2612,Running,305,2024-07-07,6.32,46
AL2747,U1378,Running,327,2024-09-11,3.25,29
AL2748,U1799,Cycling,683,2024-10-31,5.96,111
AL2749,U1129,Running,215,2024-02-08,4.05,10
AL2750,U467,Running,410,2024-03-31,3.2,89
AL2751,U1906,Weightlifting,407,2024-03-03,14.59,19
AL2752,U2386,Running,463,2024-11-14,13.95,94
AL2753,U1250,Cycling,612,2024-06-18,11.53,70
AL2754,U1034,Running,422,2024-04-16,8.88,18
AL2755,U875,Cycling,238,2024-11-03,19.07,107
AL2756,U755,Running,726,2024-07-06,11.87,61
AL2757,U2258,Running,603,2024-09-25,17.93,58
AL2758,U2234,Running,299,2024-11-24,10.38,119
AL2759,U2565,Running,185,2024-06-29,6.09,93
AL2760,U1466,Running,321,2024-06-01,13.1,57
AL2761,U2183,Running,326,2024-02-27,1.65,68
AL2762,U1918,Weightlifting,79,2024-08-22,7.59,59
AL2763,U47,Cycling,371,2024-07-22,16.01,16
AL2764,U444,Cycling,539,2024-03-06,13.78,22
AL2765,U1706,Cycling,436,2024-03-10,13.62,82
AL2766,U1687,Cycling,142,2024-08-04,12.95,46
AL2767,U2581,Running,304,2024-09-07,16.55,111
AL2768,U1413,Cycling,485,2024-07-29,10.76,104
AL2769,U1455,Cycling,143,2024-07-30,16.73,60
AL2770,U381,Running,561,2024-09-23,3.58,99
AL2771,U626,Running,493,2024-06-20,4.62,26
AL2772,U2561,Running,130,2024-11-17,19.94,104
AL2773,U977,Running,476,2024-04-07,19.89,43
AL2774,U1784,Cycling,696,2024-03-26,18.6,73
AL2775,U448,Weightlifting,577,2024-07-09,14.65,61
AL2776,U640,Running,749,2024-01-01,9.99,114
AL2777,U2727,Running,273,2024-01-09,18.22,72
AL2778,U990,Weightlifting,791,2024-01-25,16.67,49
AL2779,U1575,Running,572,2024-04-03,11.43,95
AL2780,U884,Weightlifting,78,2024-05-08,9.04,118
AL2781,U646,Cycling,70,2024-02-25,1.24,115
AL2782,U189,Cycling,441,2024-07-04,15.47,103
AL2783,U1041,Cycling,299,2024-06-10,7.74,54
AL2784,U2959,Weightlifting,120,2024-04-24,5.59,38
AL2785,U2697,Weightlifting,689,2024-10-01,16.86,24
AL2786,U403,Running,514,2024-04-18,3.16,77
AL2787,U1756,Weightlifting,666,2024-09-10,10.37,16
AL2788,U123,Weightlifting,547,2024-01-27,9.47,70
AL2789,U1924,Cycling,640,2024-11-05,13.09,35
AL2790,U771,Weightlifting,528,2024-02-08,19.62,43
AL2791,U415,Cycling,607,2024-08-21,15.53,70
AL2792,U2403,Running,615,2024-02-23,1.42,12
AL2793,U894,Weightlifting,773,2024-10-09,11.01,15
AL2794,U1286,Running,523,2024-07-04,16.44,86
AL2795,U15,Weightlifting,593,2024-07-14,2.8,57
AL2796,U1055,Weightlifting,334,2024-09-22,10.31,81
AL2797,U1775,Weightlifting,288,2024-08-15,6.99,39
AL2798,U1337,Cycling,623,2024-10-07,16.62,61
AL2799,U2248,Weightlifting,409,2024-07-27,17.09,51
AL2800,U2880,Weightlifting,638,2024-06-15,13.56,59
AL2801,U1794,Cycling,471,2024-02-16,7.41,73
AL2802,U620,Weightlifting,253,2024-06-26,8.23,58
AL2803,U210,Cycling,105,2024-08-04,5.62,19
AL2804,U1924,Running,58,2024-10-27,8.12,31
AL2805,U1258,Cycling,574,2024-05-21,9.22,66
AL2806,U2741,Running,164,2024-03-13,5.55,93
AL2807,U2498,Weightlifting,596,2024-08-28,3.53,81
AL2808,U2092,Running,400,2024-09-20,2,50
AL2809,U1257,Weightlifting,68,2024-02-06,7.03,78
AL2810,U252,Running,64,2024-08-16,5.14,48
AL2811,U2758,Cycling,800,2024-07-01,11.31,17
AL2812,U2523,Weightlifting,759,2024-10-11,8.23,66
AL2813,U2802,Cycling,364,2024-03-17,14.22,113
AL2814,U129,Weightlifting,337,2024-06-08,13.06,109
AL2815,U1365,Running,558,2024-06-14,18.22,53
AL2816,U2768,Running,550,2024-10-28,17.81,15
AL2817,U2713,Cycling,210,2024-05-28,19.38,24
AL2818,U644,Cycling,291,2024-02-21,8.62,96
AL2819,U1252,Weightlifting,542,2024-11-04,8.19,99
AL2820,U444,Running,350,2024-05-18,16.52,67
AL2821,U967,Running,550,2024-10-18,16.89,30
AL2822,U2548,Running,318,2024-10-19,10.35,59
AL2823,U1801,Weightlifting,401,2024-10-27,16.95,67
AL2824,U738,Cycling,584,2024-02-23,7.97,68
AL2825,U68,Cycling,147,2024-05-18,14.27,93
AL2826,U957,Weightlifting,474,2024-04-17,3.6,29
AL2827,U1998,Cycling,339,2024-07-01,19.33,19
AL2828,U2103,Cycling,637,2024-10-08,19.61,30
AL2829,U1415,Running,303,2024-05-06,3.41,117
AL2830,U1983,Cycling,232,2024-05-20,12.6,70
AL2831,U2437,Running,218,2024-03-17,18.38,12
AL2832,U2217,Running,700,2024-01-01,11.66,108
AL2833,U740,Running,374,2024-11-26,10.06,108
AL2834,U1597,Running,776,2024-04-06,13.92,33
AL2835,U1887,Cycling,628,2024-02-04,6.73,26
AL2836,U1669,Cycling,555,2024-09-27,5.23,78
AL2837,U2475,Running,185,2024-03-16,1.14,18
AL2838,U1809,Running,362,2024-08-29,10.49,110
AL2839,U149,Weightlifting,745,2024-06-09,13.64,70
AL2840,U716,Cycling,760,2024-11-17,14.08,45
AL2841,U1695,Weightlifting,217,2024-09-18,7.38,15
AL2842,U170,Cycling,729,2024-01-07,9.52,98
AL2843,U496,Cycling,527,2024-03-07,7.44,23
AL2844,U1225,Weightlifting,368,2024-10-02,4.63,12
AL2845,U967,Cycling,643,2024-09-08,5.58,93
AL2846,U498,Weightlifting,592,2024-06-23,4.39,68
AL2847,U484,Weightlifting,686,2024-10-24,7.76,56
AL2848,U938,Cycling,221,2024-09-22,18.44,64
AL2849,U2456,Cycling,532,2024-08-14,12.02,15
AL2850,U2500,Running,417,2024-05-11,12.14,89
AL2851,U2467,Weightlifting,300,2024-03-01,18.24,17
AL2852,U1923,Cycling,360,2024-05-23,7.09,58
AL2853,U2840,Cycling,323,2024-06-13,3.37,44
AL2854,U337,Running,790,2024-07-29,19.7,38
AL2855,U477,Running,670,2024-09-04,17.22,49
AL2856,U1085,Running,636,2024-09-03,10.63,42
AL2857,U1878,Weightlifting,523,2024-04-07,7.55,99
AL2858,U2707,Running,347,2024-08-13,7.59,87
AL2859,U253,Cycling,504,2024-11-04,4.28,21
AL2860,U1375,Weightlifting,768,2024-09-04,5.79,33
AL2861,U335,Cycling,194,2024-02-28,18.64,106
AL2862,U2140,Cycling,224,2024-06-26,6.52,97
AL2863,U2874,Cycling,410,2024-05-27,15.27,104
AL2864,U2654,Weightlifting,129,2024-06-27,10.99,98
AL2865,U2738,Running,538,2024-08-15,8.03,39
AL2866,U89,Cycling,169,2024-03-12,9.27,24
AL2867,U2442,Weightlifting,332,2024-01-03,12.35,75
AL2868,U2694,Weightlifting,177,2024-06-25,9.2,60
AL2869,U54,Cycling,478,2024-05-20,11.47,43
AL2870,U1644,Running,513,2024-07-19,1.28,110
